channel,evidence_recall,precision,mrr,complete_recovery,top_score,score_gap,score_mean,top1_correct,referential_confidence,selected_chunk_ids,selected_chunks,candidate_chunks,source_tokens,index_bytes,scored_candidates,token_index_queries,model,dataset,example_id,chunk_tokens,routing_layer,routing_layer_offset,chunk_budget,branch_top_k,beam_size
approximate,1.0,0.25,1.0,1,1.0,0.0,0.08141072591145833,1,1.0,interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=0:16|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=128:144|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=272:288|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=32:48|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=112:128|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=144:160|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=192:208|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=240:256,8,48,768,280288,240,5,qwen3_0_6b,hotpotqa,5a8b97485542995d1e6f140f,16,24,-4,8,4,4
hybrid,1.0,0.25,0.25,1,0.7080078125,0.01904296875,0.2885882059733073,0,0.85400390625,interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=464:480|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=608:624|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=400:416|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=32:48|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=592:608|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=0:16|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=432:448|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=544:560,8,48,768,280288,240,5,qwen3_0_6b,hotpotqa,5a8b97485542995d1e6f140f,16,24,-4,8,4,4
ngram,1.0,0.25,1.0,1,-0.375,0.036865234375,-0.9042917887369791,1,0.3125,interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=0:16|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=400:416|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=128:144|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=736:752|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=80:96|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=112:128|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=144:160|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=48:64,8,48,768,280288,240,5,qwen3_0_6b,hotpotqa,5a8b97485542995d1e6f140f,16,24,-4,8,4,4
edit,1.0,0.25,1.0,1,1.0,0.0,0.0625,1,1.0,interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=0:16|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=128:144|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=272:288|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=32:48|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=112:128|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=144:160|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=192:208|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=240:256,8,48,768,280288,240,5,qwen3_0_6b,hotpotqa,5a8b97485542995d1e6f140f,16,24,-4,8,4,4
embedding,1.0,0.375,0.25,1,0.445556640625,0.0009765625,0.31801096598307294,0,0.7227783203125,interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=400:416|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=128:144|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=464:480|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=32:48|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=0:16|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=80:96|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=16:32|interaction://hotpotqa/5a8b97485542995d1e6f140f#chunk=512:528,8,48,768,280288,240,5,qwen3_0_6b,hotpotqa,5a8b97485542995d1e6f140f,16,24,-4,8,4,4
semantic,0.0,0.0,0.0,0,0.47265625,0.029541015625,0.3631490071614583,0,0.736328125,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,2,1,1
exact,0.5,0.5,0.5,0,1.0,0.0,-0.703125,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=64:80,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,2,1,1
bm25,1.0,0.5,1.0,1,1.0,0.614013671875,-0.6039241154988607,1,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=80:96|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,2,1,1
approximate,0.0,0.0,0.0,0,1.0,0.0,-0.1237640380859375,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=512:528,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,2,1,1
hybrid,0.0,0.0,0.0,0,0.662109375,0.0009765625,0.18595504760742188,0,0.8310546875,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=752:768|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=736:752,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,2,1,1
ngram,0.0,0.0,0.0,0,-0.77783203125,0.13525390625,-0.9832661946614584,0,0.111083984375,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=528:544,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,2,1,1
edit,0.0,0.0,0.0,0,1.0,0.0,-0.15972391764322916,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=512:528,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,2,1,1
embedding,0.0,0.0,0.0,0,0.515625,0.00341796875,0.29318761825561523,0,0.7578125,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,2,1,1
semantic,0.0,0.0,0.0,0,0.47265625,0.029541015625,0.3631490071614583,0,0.736328125,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=688:704|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=576:592|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=656:672,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,4,2,2
exact,0.5,0.25,0.3333333333333333,0,1.0,0.0,-0.703125,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=0:16|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=320:336,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,4,2,2
bm25,1.0,0.25,1.0,1,1.0,0.614013671875,-0.6039241154988607,1,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=80:96|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=752:768,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,4,2,2
approximate,0.0,0.0,0.0,0,1.0,0.0,-0.1237640380859375,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=416:432|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,4,2,2
hybrid,0.5,0.25,0.5,0,0.662109375,0.0009765625,0.18595504760742188,0,0.8310546875,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=752:768|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=96:112|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=320:336|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=736:752,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,4,2,2
ngram,0.0,0.0,0.0,0,-0.77783203125,0.13525390625,-0.9832661946614584,0,0.111083984375,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=528:544|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,4,2,2
edit,0.0,0.0,0.0,0,1.0,0.0,-0.15972391764322916,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=416:432|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,4,2,2
embedding,0.0,0.0,0.0,0,0.515625,0.00341796875,0.29318761825561523,0,0.7578125,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=144:160,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,4,2,2
semantic,0.5,0.125,0.25,0,0.47265625,0.029541015625,0.3631490071614583,0,0.736328125,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=688:704|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=752:768|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=96:112|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=736:752|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=320:336|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=272:288,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,8,4,4
exact,0.5,0.125,0.2,0,1.0,0.0,-0.703125,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=640:656|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=688:704|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=0:16|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=320:336|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=560:576|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=576:592,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,8,4,4
bm25,1.0,0.25,1.0,1,1.0,0.614013671875,-0.6039241154988607,1,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=80:96|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=672:688|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=0:16|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=512:528,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,8,4,4
approximate,0.5,0.125,0.2,0,1.0,0.0,-0.1237640380859375,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=0:16|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=256:272|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=272:288|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=288:304,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,8,4,4
hybrid,1.0,0.25,0.5,1,0.662109375,0.0009765625,0.18595504760742188,0,0.8310546875,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=752:768|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=96:112|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=80:96|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=320:336|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=736:752|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=272:288,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,8,4,4
ngram,1.0,0.125,0.25,1,-0.77783203125,0.13525390625,-0.9832661946614584,0,0.111083984375,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=752:768|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=80:96|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=736:752|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=528:544|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=720:736,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,8,4,4
edit,0.5,0.125,0.2,0,1.0,0.0,-0.15972391764322916,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=0:16|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=256:272|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=272:288|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=288:304,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,8,4,4
embedding,0.5,0.125,0.25,0,0.515625,0.00341796875,0.29318761825561523,0,0.7578125,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=96:112|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=256:272|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=144:160|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=448:464|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=624:640,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,27,-1,8,4,4
semantic,0.5,0.5,0.5,0,0.498779296875,0.0166015625,0.38017527262369794,0,0.7493896484375,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=96:112,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,2,1,1
exact,0.5,0.5,0.5,0,1.0,0.0,-0.703125,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=64:80,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,2,1,1
bm25,1.0,0.5,1.0,1,1.0,0.614013671875,-0.6039241154988607,1,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=80:96|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,2,1,1
approximate,0.0,0.0,0.0,0,1.0,0.0,-0.1237640380859375,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=512:528,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,2,1,1
hybrid,0.0,0.0,0.0,0,0.689453125,0.00390625,0.1961944897969564,0,0.8447265625,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=640:656,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,2,1,1
ngram,0.0,0.0,0.0,0,-0.77783203125,0.13525390625,-0.9832661946614584,0,0.111083984375,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=528:544,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,2,1,1
edit,0.0,0.0,0.0,0,1.0,0.0,-0.15972391764322916,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=512:528,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,2,1,1
embedding,0.0,0.0,0.0,0,0.515625,0.00341796875,0.29318761825561523,0,0.7578125,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480,2,48,768,277385,96,2,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,2,1,1
semantic,0.0,0.0,0.0,0,0.498779296875,0.0166015625,0.38017527262369794,0,0.7493896484375,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=672:688|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=640:656,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,4,2,2
exact,0.5,0.25,0.3333333333333333,0,1.0,0.0,-0.703125,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=0:16|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=320:336,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,4,2,2
bm25,1.0,0.25,1.0,1,1.0,0.614013671875,-0.6039241154988607,1,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=80:96|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=752:768,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,4,2,2
approximate,0.0,0.0,0.0,0,1.0,0.0,-0.1237640380859375,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=416:432|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,4,2,2
hybrid,0.5,0.25,0.5,0,0.689453125,0.00390625,0.1961944897969564,0,0.8447265625,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=96:112|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=272:288|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=320:336,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,4,2,2
ngram,0.0,0.0,0.0,0,-0.77783203125,0.13525390625,-0.9832661946614584,0,0.111083984375,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=528:544|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,4,2,2
edit,0.0,0.0,0.0,0,1.0,0.0,-0.15972391764322916,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=416:432|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,4,2,2
embedding,0.0,0.0,0.0,0,0.515625,0.00341796875,0.29318761825561523,0,0.7578125,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=144:160,4,48,768,277385,144,3,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,4,2,2
semantic,0.5,0.125,0.25,0,0.498779296875,0.0166015625,0.38017527262369794,0,0.7493896484375,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=464:480|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=448:464|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=96:112|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=704:720|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=624:640|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=272:288,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,8,4,4
exact,0.5,0.125,0.2,0,1.0,0.0,-0.703125,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=640:656|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=688:704|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=0:16|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=320:336|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=560:576|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=576:592,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,8,4,4
bm25,1.0,0.25,1.0,1,1.0,0.614013671875,-0.6039241154988607,1,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=80:96|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=672:688|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=0:16|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=512:528,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,8,4,4
approximate,0.5,0.125,0.2,0,1.0,0.0,-0.1237640380859375,0,1.0,interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=128:144|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=400:416|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=496:512|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=544:560|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=0:16|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=256:272|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=272:288|interaction://hotpotqa/5a8b429f5542995d1e6f132c#chunk=288:304,8,48,768,277385,240,5,qwen3_0_6b,hotpotqa,5a8b429f5542995d1e6f132c,16,24,-4,8,4,4
